"id CLIENTE","PAGO_MENSUAL ($)","GÉNERO","COMPAÑÍA","PERMANENCIA EN LA COMPAÑIA (AÑOS)","IMPUESTO_ADICIONAL($)"
"28866","23209","Femenino","ENTEL","2","3065"
"18840","19454","Femenino","ENTEL","5","3051"
"52883","17353","Femenino","ENTEL","3","2977"
"86965","19341","Femenino","ENTEL","1","2970"
"57092","20582","Masculino","WOM","1","3029"
"24896","21673","Masculino","WOM","6","3015"
"89395","23377","Femenino","ENTEL","8","3088"
"20220","24314","Masculino","WOM","7","3059"
"74575","23032","Masculino","WOM","2","3053"
"52412","14944","Femenino","ENTEL","5","2941"
"19419","19432","Femenino","ENTEL","4","3031"
"30618","18898","Femenino","ENTEL","7","2954"
"40149","19219","Masculino","CLARO","5","3028"
"65134","17759","Femenino","ENTEL","4","3013"
"64834","16409","Femenino","ENTEL","2","2979"
"55096","23891","Masculino","CLARO","8","3094"
"80708","22747","Femenino","ENTEL","7","3089"
"47373","27349","Femenino","ENTEL","5","3095"
"91976","26817","Femenino","ENTEL","3","3161"
"21446","22564","Masculino","WOM","5","3097"
"11594","23527","Masculino","CLARO","0","3049"
"69038","27173","Femenino","ENTEL","4","3144"
"86027","23363","Masculino","CLARO","5","3067"
"11134","23521","Femenino","ENTEL","5","3080"
"55200","20179","Masculino","WOM","4","3072"
"47617","13887","Masculino","CLARO","2","2880"
"87362","27114","Masculino","CLARO","6","3062"
"62444","20547","Femenino","ENTEL","2","3078"
"45890","29205","Masculino","CLARO","7","3094"
"67021","22432","Femenino","ENTEL","1","3095"
"72743","26649","Femenino","ENTEL","8","3097"
"53046","21479","Masculino","CLARO","5","2992"
"36349","18500","Femenino","ENTEL","1","2986"
"17457","22274","Masculino","CLARO","4","3063"
"25176","20622","Masculino","CLARO","8","2990"
"55519","14641","Femenino","ENTEL","8","2935"
"78346","21409","Masculino","CLARO","4","3061"
"49692","24442","Femenino","ENTEL","3","3132"
"17129","19984","Masculino","WOM","7","3030"
"85246","19376","Femenino","ENTEL","3","3040"
"17591","17994","Femenino","ENTEL","3","2998"
"80997","21928","Femenino","ENTEL","6","3098"
"62126","17080","Femenino","ENTEL","6","2972"
"17437","19437","Femenino","ENTEL","4","3021"
"18612","18716","Femenino","ENTEL","5","2960"
"42987","17574","Masculino","WOM","6","3020"
"59432","25849","Masculino","WOM","5","3129"
"90738","25506","Femenino","ENTEL","3","3104"
"44126","22425","Masculino","CLARO","5","3065"
"57581","24989","Femenino","ENTEL","6","3108"
"50663","12183","Masculino","WOM","5","2869"
"70909","22267","Masculino","CLARO","2","3043"
"66211","23718","Masculino","CLARO","5","3022"
"61852","17112","Femenino","ENTEL","5","3021"
"27822","20086","Femenino","ENTEL","3","2992"
"93173","23736","Masculino","CLARO","3","3062"
"42856","15332","Masculino","CLARO","3","2929"
"71956","22329","Femenino","ENTEL","2","3054"
"23860","25224","Masculino","CLARO","3","3050"
"85092","27465","Femenino","ENTEL","6","3096"
"56717","22083","Masculino","WOM","8","3090"
"52300","21893","Masculino","CLARO","6","2998"
"29847","18429","Masculino","CLARO","5","3044"
"53669","20939","Femenino","ENTEL","7","3004"
"98461","25374","Femenino","ENTEL","6","3083"
"11416","21280","Femenino","ENTEL","5","3039"
"78095","22728","Masculino","CLARO","4","3029"
"58731","22002","Femenino","ENTEL","5","3059"
"96240","21395","Masculino","CLARO","8","3021"
"40622","15331","Femenino","ENTEL","7","2949"
"76748","21215","Femenino","ENTEL","5","3048"
"76757","18300","Masculino","CLARO","4","2944"
"91065","15746","Masculino","WOM","6","2899"
"33925","18587","Femenino","ENTEL","2","2968"
"12449","22564","Masculino","CLARO","5","3017"
"23492","21829","Femenino","ENTEL","5","3097"
"59631","21453","Masculino","CLARO","3","3031"
"44068","14163","Femenino","ENTEL","5","2896"
"93242","23553","Femenino","ENTEL","3","3040"
"14125","24389","Masculino","CLARO","4","3121"
"55902","27407","Masculino","CLARO","6","3075"
"74869","17453","Femenino","ENTEL","6","2959"
"34057","24247","Femenino","ENTEL","3","3059"
"25193","20567","Masculino","CLARO","6","3078"
"97853","22216","Femenino","ENTEL","3","3092"
"90763","17866","Masculino","CLARO","6","3035"
"54261","18560","Masculino","CLARO","3","2968"
"89891","23304","Masculino","CLARO","6","3087"
"36503","19367","Femenino","ENTEL","5","3000"
"73872","16530","Masculino","CLARO","6","2943"
"72545","28927","Masculino","CLARO","8","3122"
"39645","16007","Femenino","ENTEL","2","3001"
"19325","19555","Femenino","ENTEL","6","3023"
"95601","23081","Masculino","WOM","4","3054"
"99702","22113","Femenino","ENTEL","6","3041"
"15048","20701","Masculino","CLARO","3","3070"
"35074","15465","Femenino","ENTEL","4","2893"
"10608","18431","Masculino","WOM","4","2956"
"83316","25814","Femenino","ENTEL","6","3078"
"16289","13151","Masculino","WOM","3","2873"
"41494","19584","Femenino","ENTEL","7","3004"
"82098","21428","Masculino","WOM","7","3041"
"53961","23906","Masculino","WOM","5","3095"
"50899","16856","Masculino","CLARO","7","2929"
"56499","14670","Masculino","WOM","5","2916"
"43428","19162","Masculino","WOM","6","2997"
"12248","28936","Masculino","CLARO","6","3102"
"67046","23357","Masculino","CLARO","3","3118"
"32514","19461","Femenino","ENTEL","4","2972"
"49010","18267","Femenino","ENTEL","5","3032"
"58376","19854","Masculino","CLARO","4","2968"
"37091","29053","Femenino","ENTEL","4","3124"
"43725","23475","Femenino","ENTEL","8","3109"
"30216","23797","Masculino","CLARO","7","3073"
"71938","23198","Femenino","ENTEL","8","3085"
"96472","22133","Masculino","WOM","3","3061"
"22856","18266","Masculino","CLARO","7","2963"
"70634","27265","Masculino","CLARO","6","3115"
"19224","19678","Femenino","ENTEL","3","3045"
"75578","19534","Masculino","CLARO","5","3052"
"19749","12095","Masculino","WOM","1","2829"
"72952","25037","Femenino","ENTEL","3","3089"
"27281","21465","Femenino","ENTEL","7","3072"
"54355","22407","Masculino","CLARO","2","3105"
"74191","22213","Femenino","ENTEL","4","3082"
"28335","23128","Masculino","WOM","5","3095"
"18395","21868","Masculino","CLARO","5","3067"
"18276","20500","Masculino","CLARO","6","2978"
"68343","22359","Masculino","CLARO","6","3034"
"95312","22633","Masculino","WOM","7","3098"
"74113","21883","Masculino","CLARO","5","3067"
"34078","19983","Femenino","ENTEL","7","2980"
"25376","26593","Masculino","CLARO","5","3056"
"91211","24513","Femenino","ENTEL","3","3042"
"97122","19993","Femenino","ENTEL","2","3040"
"90204","21067","Masculino","CLARO","2","3066"
"94927","24583","Masculino","CLARO","6","3032"
"94132","17930","Masculino","CLARO","7","3016"
"55915","25097","Femenino","ENTEL","5","3099"
"37187","15180","Femenino","ENTEL","7","2926"
"15560","18987","Masculino","CLARO","6","3034"
"49732","18495","Femenino","ENTEL","7","2996"
"95523","18254","Femenino","ENTEL","5","2973"
"72247","21614","Masculino","WOM","6","3084"
"84429","18933","Masculino","CLARO","2","2964"
"93916","27306","Femenino","ENTEL","5","3166"
"74652","22611","Masculino","CLARO","6","3037"
"37228","23689","Masculino","WOM","5","3021"
"44497","24497","Femenino","ENTEL","4","3062"
"98479","20638","Femenino","ENTEL","6","2990"
"59331","28445","Femenino","ENTEL","2","3076"
"12201","19224","Masculino","WOM","7","3008"
"63927","22050","Femenino","ENTEL","6","3100"
"15196","19420","Masculino","CLARO","6","3021"
"53076","18398","Masculino","CLARO","5","3044"
"47537","23598","Femenino","ENTEL","2","3081"
"25664","20611","Masculino","CLARO","4","3069"
"12004","22169","Femenino","ENTEL","5","3041"
"83364","20167","Masculino","CLARO","6","2973"
"10109","25150","Femenino","ENTEL","7","3141"
"74914","27703","Femenino","ENTEL","7","3089"
"12414","20250","Femenino","ENTEL","5","2994"
"10194","22114","Masculino","CLARO","1","3041"
"99905","19068","Femenino","ENTEL","4","2986"
"30654","17935","Masculino","CLARO","7","2948"
"24806","25693","Femenino","ENTEL","4","3086"
"30103","16274","Femenino","ENTEL","4","2957"
"14759","22487","Femenino","ENTEL","6","3076"
"76440","17983","Femenino","ENTEL","6","3027"
"15090","22159","Masculino","CLARO","6","3051"
"99721","19890","Femenino","ENTEL","2","2969"
"78418","24572","Masculino","CLARO","3","3063"
"31225","20684","Masculino","CLARO","5","3080"
"35593","24839","Femenino","ENTEL","5","3066"
"57664","14119","Femenino","ENTEL","6","2933"
"27147","18382","Femenino","ENTEL","5","3014"
"45170","25833","Femenino","ENTEL","4","3068"
"34953","22829","Masculino","CLARO","3","3060"
"51994","20057","Masculino","CLARO","6","2981"
"73832","18396","Femenino","ENTEL","4","3024"
"34031","19848","Masculino","CLARO","7","3067"
"27420","19190","Masculino","CLARO","4","3007"
"65776","23807","Femenino","ENTEL","0","3083"
"48488","22924","Femenino","ENTEL","4","3082"
"69675","20346","Masculino","WOM","4","3045"
"61405","18462","Femenino","ENTEL","3","3035"
"40356","23963","Masculino","CLARO","4","3126"
"43446","23673","Masculino","CLARO","5","3041"
"69158","23015","Femenino","ENTEL","6","3113"
"36809","19768","Femenino","ENTEL","2","3026"
"86326","26648","Femenino","ENTEL","6","3077"
"59347","15925","Femenino","ENTEL","6","2931"
"14370","19567","Masculino","WOM","3","3053"
"13590","24072","Masculino","CLARO","6","3127"
"30792","14044","Masculino","CLARO","6","2874"
"24966","19378","Femenino","ENTEL","5","3010"
"80974","19858","Femenino","ENTEL","4","3028"
"72176","12898","Femenino","ENTEL","7","2934"
"23891","22975","Femenino","ENTEL","8","3032"
"38449","23073","Masculino","CLARO","6","3114"
"29227","26167","Femenino","ENTEL","0","3102"
"46158","24580","Femenino","ENTEL","6","3053"
"17106","25696","Masculino","CLARO","3","3066"
"12531","18488","Masculino","WOM","4","3035"
"39054","24441","Masculino","CLARO","7","3071"
"66493","20848","Femenino","ENTEL","2","3003"
"38618","25126","Masculino","CLARO","5","3120"
"90273","17084","Masculino","WOM","6","2943"
"95999","18567","Femenino","ENTEL","3","3047"
"93462","21017","Femenino","ENTEL","5","3055"
"24604","18709","Femenino","ENTEL","4","3010"
"93837","16627","Femenino","ENTEL","5","2993"
"87167","25632","Masculino","CLARO","6","3075"
"72378","24279","Masculino","CLARO","6","3130"
"51427","24201","Masculino","WOM","6","3088"
"16512","27614","Masculino","WOM","7","3170"
"38834","18434","Femenino","ENTEL","6","2946"
"99766","31105","Femenino","ENTEL","5","3175"
"62390","19907","Masculino","CLARO","2","3048"
"15031","21451","Masculino","WOM","8","3051"
"46270","22928","Masculino","WOM","4","3082"
"93730","14023","Femenino","ENTEL","2","2902"
"40671","19315","Femenino","ENTEL","1","2980"
"39101","23134","Femenino","ENTEL","5","3064"
"64897","20505","Femenino","ENTEL","7","3028"
"89464","19820","Femenino","ENTEL","4","3047"
"38263","19842","Masculino","WOM","4","2968"
"92788","16788","Femenino","ENTEL","6","2937"
"10925","21577","Masculino","CLARO","5","3083"
"48805","20796","Masculino","WOM","4","3062"
"75604","15817","Masculino","WOM","3","2919"
"64546","23502","Masculino","CLARO","6","3029"
"95255","22051","Femenino","ENTEL","5","3050"
"56403","20879","Femenino","ENTEL","5","3003"
"53305","22501","Femenino","ENTEL","7","3026"
"89066","24168","Femenino","ENTEL","7","3058"
"95825","24879","Masculino","CLARO","7","3137"
"93077","27278","Femenino","ENTEL","5","3145"
"44257","21384","Femenino","ENTEL","4","3031"
"17276","19565","Masculino","CLARO","3","2964"
"21675","21631","Masculino","CLARO","3","3054"
"67497","20746","Femenino","ENTEL","5","3041"
"65637","21069","Masculino","CLARO","5","2996"
"36191","19730","Masculino","WOM","4","3065"
"47812","19497","Masculino","CLARO","5","2963"
"68478","20347","Femenino","ENTEL","5","2996"
"18083","26434","Masculino","WOM","6","3136"
"84784","18945","Masculino","CLARO","5","3053"
"76780","20922","Femenino","ENTEL","5","3024"
"48548","19435","Femenino","ENTEL","3","3001"
"21175","22052","Femenino","ENTEL","5","3060"
"27810","20908","Masculino","CLARO","6","3083"
"86428","14795","Femenino","ENTEL","4","2880"
"40402","21359","Femenino","ENTEL","5","3020"
"74777","17744","Femenino","ENTEL","6","3013"
"65695","20571","Femenino","ENTEL","5","3019"
"30427","20254","Femenino","ENTEL","4","2974"
"69170","24993","Femenino","ENTEL","4","3098"
"60177","22465","Femenino","ENTEL","3","3045"
"69166","20877","Masculino","CLARO","4","3013"
"88000","24844","Femenino","ENTEL","7","3046"
"13549","24001","Masculino","CLARO","2","3086"
"83483","21435","Masculino","CLARO","1","3071"
"15325","23743","Masculino","WOM","2","3052"
"95307","24210","Femenino","ENTEL","5","3129"
"44851","23314","Masculino","CLARO","6","3117"
"14136","21245","Femenino","ENTEL","3","3058"
"97480","22780","Femenino","ENTEL","3","3080"
"99756","18745","Femenino","ENTEL","2","3030"
"54332","17552","Femenino","ENTEL","3","3019"
"15314","28339","Masculino","WOM","5","3147"
"15994","17890","Femenino","MOVISTAR","4","2937"
"80110","22994","Masculino","MOVISTAR","4","3053"
"67923","22127","Masculino","MOVISTAR","5","3001"
"39290","21769","Masculino","MOVISTAR","6","3006"
"73588","20540","Masculino","MOVISTAR","3","3048"
"61212","20369","Masculino","MOVISTAR","5","3036"
"29454","24804","Femenino","MOVISTAR","3","3096"
"45620","21275","Masculino","MOVISTAR","5","2999"
"53768","16884","Masculino","MOVISTAR","5","2939"
"57846","15474","Masculino","MOVISTAR","5","2903"
"80847","23188","Masculino","MOVISTAR","3","3105"
"34205","17187","Masculino","MOVISTAR","6","3023"
"95963","24183","Masculino","MOVISTAR","2","3048"
"85798","20645","Femenino","MOVISTAR","3","3000"
"22000","25129","Masculino","MOVISTAR","4","3100"
"91872","23650","Masculino","MOVISTAR","8","3051"
"18495","18603","Femenino","MOVISTAR","6","3027"
"86211","19926","Femenino","MOVISTAR","5","2979"
"30667","22180","Masculino","MOVISTAR","5","3032"
"68224","22261","Masculino","MOVISTAR","3","3023"
"41137","19576","Masculino","MOVISTAR","5","2964"
"77075","26007","Femenino","MOVISTAR","7","3080"
"64999","25610","Femenino","MOVISTAR","4","3075"
"56871","17769","Femenino","MOVISTAR","4","3033"
"99033","25151","Femenino","MOVISTAR","6","3039"
"48902","20713","Masculino","MOVISTAR","6","3080"
"90755","21153","Masculino","MOVISTAR","7","3007"
"42772","13126","Femenino","MOVISTAR","6","2844"
"44820","18348","Femenino","MOVISTAR","4","2964"
"74676","15216","Masculino","MOVISTAR","7","2917"
"77912","26472","Masculino","MOVISTAR","7","3055"
"76515","23184","Femenino","MOVISTAR","6","3065"
"71337","22907","Masculino","MOVISTAR","7","3011"
"51907","19200","Femenino","MOVISTAR","5","3057"
"54625","21200","Femenino","MOVISTAR","5","2988"
"57970","16198","Masculino","MOVISTAR","3","2946"
"30460","21552","Masculino","MOVISTAR","7","3003"
"38981","19097","Masculino","MOVISTAR","7","3026"
"83248","20392","Femenino","MOVISTAR","8","3036"
"75408","19993","Femenino","MOVISTAR","7","2990"
"73022","24390","Femenino","MOVISTAR","3","3060"
"88878","21840","Masculino","MOVISTAR","4","3077"
"86846","17240","Femenino","MOVISTAR","4","2955"
"71106","16499","Femenino","MOVISTAR","4","3010"
"66008","23962","Masculino","MOVISTAR","2","3075"
"90367","22274","Femenino","MOVISTAR","2","3103"
"46807","16893","Femenino","MOVISTAR","5","2969"
"29179","24096","Masculino","MOVISTAR","3","3026"
"83701","16521","Femenino","MOVISTAR","2","2913"
"74610","18883","Masculino","MOVISTAR","3","3042"
"34527","24711","Femenino","MOVISTAR","3","3034"
"15149","18735","Masculino","MOVISTAR","5","2980"
"74575","23071","Masculino","MOVISTAR","6","3023"
"27450","17947","Femenino","MOVISTAR","3","2967"
"18580","24118","Masculino","MOVISTAR","4","3047"
"33361","21889","Masculino","MOVISTAR","5","2998"
"54237","19429","Masculino","MOVISTAR","6","3001"
"36351","16607","Femenino","MOVISTAR","6","3002"
"57158","23425","Femenino","MOVISTAR","2","3098"
"14034","17443","Femenino","MOVISTAR","6","2969"
"72067","23164","Femenino","MOVISTAR","6","3095"
"74165","19115","Femenino","MOVISTAR","5","3016"
"57747","17712","Femenino","MOVISTAR","3","3012"
"93800","29410","Femenino","MOVISTAR","7","3138"
"68372","21770","Femenino","MOVISTAR","5","3056"
"40316","29130","Masculino","MOVISTAR","3","3186"
"61183","18917","Femenino","MOVISTAR","7","3003"
"67462","19886","Femenino","MOVISTAR","6","3048"
"10062","20432","Femenino","MOVISTAR","6","3046"
"88790","22204","Masculino","MOVISTAR","4","3012"
"80327","24445","Femenino","MOVISTAR","5","3061"
"23305","15202","Femenino","MOVISTAR","3","2956"
"34999","23198","Femenino","MOVISTAR","7","3085"
"27113","22085","Femenino","MOVISTAR","1","3010"
"84759","23211","Masculino","MOVISTAR","4","3035"
"66473","22518","Masculino","MOVISTAR","6","3026"
"33525","21240","Femenino","MOVISTAR","5","3038"
"36198","20636","Femenino","MOVISTAR","3","3079"
"37140","21446","Femenino","MOVISTAR","5","3011"
"41055","20736","Masculino","MOVISTAR","4","2981"
"83175","22989","Femenino","ENTEL","4","3073"
"32060","19508","Femenino","ENTEL","7","2983"
"24667","23416","Femenino","ENTEL","5","3098"
"50576","20205","Femenino","ENTEL","5","3003"
"86983","17477","Masculino","CLARO","5","2940"
"69734","23016","Masculino","CLARO","1","3023"
"30640","20081","Masculino","CLARO","7","2992"
"40258","13679","Femenino","ENTEL","2","2857"
"80231","22648","Masculino","WOM","1","3028"
"34462","15160","Masculino","CLARO","3","2945"
"16814","16001","Masculino","CLARO","6","2913"
"94902","23497","Femenino","ENTEL","3","3059"
"99935","18932","Masculino","CLARO","5","2993"
"39048","21220","Femenino","ENTEL","5","3028"
"98961","25718","Femenino","ENTEL","3","3046"
"41946","16085","Masculino","CLARO","3","2944"
"50582","23207","Masculino","CLARO","3","3025"
"48978","18757","Femenino","ENTEL","5","3050"
"39010","22791","Femenino","ENTEL","7","3070"
"72049","18942","Femenino","ENTEL","5","2994"
"39633","18187","Masculino","WOM","7","2942"
"95817","19089","Masculino","CLARO","8","3006"
"96072","21855","Femenino","ENTEL","8","3077"
"60449","17189","Masculino","WOM","7","2925"
"43131","23531","Masculino","CLARO","4","3060"
"82110","23361","Masculino","CLARO","4","3118"
"89367","25841","Masculino","CLARO","7","3078"
"16835","25098","Femenino","ENTEL","3","3130"
"81065","21409","Femenino","ENTEL","5","3021"
"80773","32221","Masculino","CLARO","5","3134"
"76421","13797","Masculino","CLARO","3","2897"
"15155","21254","Femenino","ENTEL","4","3088"
"23209","21184","Masculino","CLARO","8","3067"
"51920","25880","Masculino","CLARO","4","3109"
"62497","20329","Masculino","WOM","1","2985"
"29581","18636","Femenino","ENTEL","4","2999"
"94593","22564","Masculino","CLARO","4","3077"
"83812","24855","Masculino","CLARO","3","3107"
"22179","27513","Masculino","CLARO","5","3128"
"74847","22588","Masculino","CLARO","7","3037"
"32887","26552","Femenino","ENTEL","5","3056"
"39622","25628","Masculino","WOM","5","3086"
"64993","21261","Masculino","CLARO","6","2999"
"81208","21592","Masculino","CLARO","2","3063"
"72008","21245","Masculino","WOM","6","3078"
"95120","17186","Masculino","CLARO","8","2993"
"18535","22693","Femenino","ENTEL","3","3079"
"36419","25012","Masculino","WOM","2","3119"
"29876","20126","Masculino","CLARO","4","3002"
"10642","19896","Femenino","ENTEL","5","3028"
"19843","24764","Masculino","CLARO","5","3075"
"73624","22035","Femenino","ENTEL","8","3030"
"90364","19824","Masculino","WOM","5","2998"
"80428","15375","Femenino","ENTEL","4","2892"
"65850","19712","Masculino","CLARO","6","3055"
"24244","21351","Femenino","ENTEL","5","3080"
"15327","18454","Masculino","CLARO","4","2996"
"81428","18521","Masculino","WOM","4","2997"
"99558","13144","Femenino","ENTEL","6","2902"
"79682","29644","Femenino","ENTEL","6","3171"
"72701","18737","Femenino","ENTEL","6","2951"
"99374","22185","Masculino","CLARO","6","3012"
"41579","26062","Femenino","ENTEL","3","3131"
"43844","30303","Masculino","CLARO","4","3136"
"61660","18521","Masculino","CLARO","4","2997"
"52158","24763","Femenino","ENTEL","6","3035"
"53552","24769","Masculino","WOM","4","3126"
"84959","23348","Masculino","CLARO","6","3118"
"56801","23508","Femenino","ENTEL","5","3110"
"92567","17646","Masculino","CLARO","5","2972"
"69820","21297","Masculino","CLARO","5","3069"
"54740","23949","Masculino","WOM","3","3045"
"77241","20386","Masculino","CLARO","2","3046"
"46299","25857","Masculino","WOM","6","3149"
"91592","18019","Masculino","CLARO","6","2978"
"13062","16718","Masculino","CLARO","3","2917"
"42932","21610","Masculino","CLARO","6","3054"
"43507","19037","Femenino","ENTEL","2","3035"
"74190","15207","Masculino","CLARO","7","2917"
"68426","24956","Masculino","CLARO","6","3067"
"60277","16203","Masculino","CLARO","7","2995"
"58184","19818","Masculino","WOM","6","2968"
"81107","20987","Masculino","WOM","4","3025"
"69211","20972","Femenino","ENTEL","4","3035"
"88859","18210","Femenino","ENTEL","4","2952"
"16660","20560","Femenino","ENTEL","2","3058"
"93514","20265","Masculino","WOM","5","3044"
"30930","24200","Femenino","ENTEL","3","3108"
"17874","21530","Femenino","ENTEL","5","3023"
"19108","21260","Femenino","ENTEL","2","3019"
"91775","23654","Masculino","WOM","4","3061"
"71598","15603","Masculino","WOM","6","2935"
"53677","16217","Masculino","WOM","6","2995"
"96244","10676","Masculino","CLARO","2","2819"
"51111","15794","Masculino","CLARO","2","2996"
"96256","19225","Femenino","ENTEL","4","2959"
"85459","24477","Masculino","CLARO","2","3031"
"25177","28825","Femenino","ENTEL","1","3142"
"23745","23444","Femenino","ENTEL","1","3018"
"33264","25465","Femenino","ENTEL","5","3124"
"13075","14249","Femenino","ENTEL","5","2964"
"37322","31001","Femenino","ENTEL","7","3112"
"96186","23188","Femenino","ENTEL","5","3055"
"85947","22582","Femenino","ENTEL","8","3047"
"17222","21207","Masculino","CLARO","5","3018"
"56534","22254","Masculino","WOM","7","3103"
"11673","21876","Masculino","WOM","4","2997"
"10320","20846","Masculino","WOM","3","3003"
"67265","21584","Femenino","ENTEL","5","3073"
"13617","25026","Femenino","ENTEL","5","3109"
"63821","16576","Masculino","CLARO","4","2963"
"55234","26382","Femenino","ENTEL","7","3064"
"45590","23632","Masculino","WOM","3","3071"
"19686","23061","Masculino","WOM","7","3084"
"51784","15271","Femenino","ENTEL","7","2890"
"95892","26471","Femenino","ENTEL","7","3095"
"51988","19618","Femenino","ENTEL","5","3044"
"40722","17656","Femenino","ENTEL","6","3021"
"89774","22000","Masculino","CLARO","4","3079"
"23628","16702","Masculino","WOM","7","2994"
"34208","25210","Masculino","CLARO","5","3131"
"98559","27636","Femenino","ENTEL","8","3108"
"40594","25201","Masculino","WOM","7","3101"
"28839","21202","Femenino","ENTEL","4","2988"
"66150","26590","Femenino","ENTEL","2","3087"
"67083","26898","Masculino","CLARO","7","3131"
"99591","19482","Femenino","ENTEL","0","3032"
"60574","19696","Masculino","CLARO","3","3025"
"27491","19058","Masculino","WOM","4","3055"
"95541","27663","Femenino","ENTEL","3","3088"
"26002","19304","Masculino","CLARO","1","2980"
"64941","25356","Masculino","CLARO","5","3072"
"23852","19222","Femenino","ENTEL","8","3057"
"57747","24380","Femenino","ENTEL","4","3111"
"47602","23575","Masculino","WOM","2","3090"
"79415","21985","Masculino","WOM","5","3069"
"83245","22088","Masculino","WOM","4","3100"
"19457","28944","Masculino","CLARO","4","3184"
"91595","26786","Masculino","WOM","2","3099"
"29297","19608","Masculino","WOM","5","3034"
"30729","22884","Masculino","WOM","3","3091"
"61078","22009","Femenino","ENTEL","6","3029"
"71896","17356","Femenino","ENTEL","6","3026"
"44005","20816","Masculino","CLARO","6","3052"
"34729","22060","Masculino","CLARO","4","3100"
"37798","19478","Femenino","ENTEL","6","3012"
"20973","26784","Masculino","CLARO","7","3079"
"87352","20695","Femenino","ENTEL","5","3030"
"42992","17610","Masculino","CLARO","3","3011"
"88612","20895","Femenino","ENTEL","4","3063"
"79590","13824","Masculino","WOM","6","2879"
"62060","18673","Masculino","CLARO","7","2999"
"10907","19289","Masculino","WOM","4","3019"
"98937","22467","Femenino","ENTEL","6","3086"
"21372","19990","Femenino","ENTEL","4","2980"
"64530","20984","Femenino","ENTEL","2","2985"
"50290","18846","Femenino","ENTEL","6","3031"
"82544","21296","Masculino","WOM","3","3019"
"14408","21014","Masculino","CLARO","8","3025"
"64105","18429","Femenino","ENTEL","7","2995"
"15714","21602","Masculino","CLARO","5","3004"
"73695","22705","Masculino","WOM","4","3059"
"31163","20798","Femenino","ENTEL","6","3052"
"50313","18799","Masculino","WOM","4","3001"
"50852","22452","Femenino","ENTEL","6","3015"
"61622","30130","Femenino","ENTEL","2","3155"
"78679","17878","Femenino","ENTEL","4","2937"
"53735","22137","Femenino","ENTEL","5","3071"
"98353","24269","Femenino","ENTEL","7","3079"
"69503","26028","Masculino","CLARO","3","3121"
"10243","25156","Femenino","ENTEL","5","3039"
"39697","19710","Femenino","ENTEL","1","3035"
"28526","18623","Masculino","CLARO","6","3047"
"37467","17865","Femenino","ENTEL","3","2976"
"29546","22883","Masculino","WOM","4","3061"
"77434","22457","Femenino","ENTEL","7","3065"
"37489","18329","Femenino","ENTEL","4","2984"
"46035","24420","Masculino","WOM","3","3071"
"45821","16703","Femenino","ENTEL","4","2994"
"74112","27166","Femenino","ENTEL","7","3062"
"33087","21979","Masculino","CLARO","5","3059"
"39763","19889","Masculino","WOM","4","3048"
"62662","22082","Masculino","CLARO","6","3040"
"10014","17296","Masculino","CLARO","6","3025"
"42722","18423","Femenino","ENTEL","4","2946"
"23636","23131","Femenino","ENTEL","4","3014"
"51805","25697","Masculino","WOM","7","3127"
"49127","21513","Masculino","CLARO","4","3022"
"44790","21420","Masculino","CLARO","4","3021"
"92407","19976","Femenino","ENTEL","6","3049"
"12549","15835","Femenino","ENTEL","3","2910"
"70038","22154","Femenino","ENTEL","7","3081"
"27606","20615","Masculino","CLARO","2","2990"
"34482","24578","Femenino","ENTEL","7","3032"
"71476","20908","Masculino","CLARO","6","3073"
"43913","21750","Femenino","ENTEL","7","3056"
"98325","17931","Femenino","ENTEL","8","3026"
"83996","23433","Femenino","ENTEL","4","3109"
"23094","21116","Femenino","ENTEL","2","2997"
